transaction_id,amount,category,is_fraud
1,39.93428306022466,food,0
2,27.23471397657631,clothes,0
3,42.953770762013846,transportation,0
4,60.46059712816051,food,0
5,25.31693250553328,books,0
6,25.31726086101639,rent,0
7,61.58425631014783,entertainment,0
8,45.348694583058176,books,0
9,20.610512281300956,clothes,0
10,40.85120087171929,food,0
11,20.731646143750755,entertainment,0
12,20.685404928594863,food,0
13,34.839245431320684,clothes,0
14,1.0,food,0
15,1.0,rent,0
16,18.754249415180546,entertainment,0
17,9.743377593311525,entertainment,0
18,36.28494665190548,clothes,0
19,11.83951848957578,rent,0
20,1.7539259732941694,books,0
21,59.31297537843108,food,0
22,25.484473990269287,transportation,0
23,31.35056409375848,food,0
24,1.5050362757308662,food,0
25,19.112345509496347,books,0
26,32.21845179419732,food,0
27,6.980128451553945,rent,0
28,37.51396036691344,rent,0
29,17.9872262016239,entertainment,0
30,24.166125004134464,clothes,0
31,17.965867755412063,transportation,0
32,67.04556369017875,food,0
33,29.73005550524132,food,0
34,8.845781420881991,books,0
35,46.45089824206378,clothes,0
36,5.583127000579555,rent,0
37,34.17727190009511,transportation,0
38,1.0,entertainment,0
39,3.436279022031389,rent,0
40,33.93722471738247,clothes,0
41,44.76933159990821,entertainment,0
42,33.42736562379941,books,0
43,27.68703435223519,books,0
44,23.977926088214225,food,0
45,1.0,clothes,0
46,15.603115832105827,transportation,0
47,20.78722458080425,entertainment,0
48,51.14244452437831,rent,0
49,36.872365791369226,clothes,0
50,1.0,clothes,0
51,36.4816793878959,books,0
52,22.29835439167367,food,0
53,16.461559993880826,food,0
54,42.23352577681736,entertainment,0
55,50.619990449919015,books,0
56,48.625602382323976,clothes,0
57,13.215649535547229,transportation,0
58,23.815752482975707,books,0
59,36.62526862807128,entertainment,0
60,49.510902542447184,entertainment,0
61,20.416515243094203,books,0
62,26.286820466723658,entertainment,0
63,7.873300519879436,books,0
64,6.075867518386584,rent,0
65,46.25051644788396,books,0
66,57.12480057141646,books,0
67,28.55979756839332,entertainment,0
68,50.07065795784048,entertainment,0
69,37.23272050095268,food,0
70,17.097604907897512,food,0
71,37.227912110168276,rent,0
72,60.760731329319384,food,0
73,29.28347921780097,books,0
74,61.29287311628012,entertainment,0
75,1.0,food,0
76,46.43805008750448,food,0
77,31.740941364763426,rent,0
78,24.01985299068265,clothes,0
79,31.835215530710045,rent,0
80,1.0,books,0
81,25.606562243249762,entertainment,0
82,37.14225143023493,rent,0
83,59.55788089483032,food,0
84,19.634595634527052,entertainment,0
85,13.830127942136247,entertainment,0
86,19.96485912830927,food,0
87,48.30804235404148,rent,0
88,36.57502219319369,food,0
89,19.404795924659226,clothes,0
90,40.26534866226712,entertainment,0
91,5000.0,transportation,1
92,49.372899810657785,transportation,0
93,15.958938122452953,books,0
94,23.446757068044636,food,0
95,22.157836937356848,food,0
96,1.0,books,0
97,35.922405541291525,books,0
98,35.221105443597786,books,0
99,30.10226913284922,entertainment,0
100,25.308257332497064,clothes,0
